Program Name,Program Arthur,Program Description,Program Length,Program Level,Program Equipment,Days Per Week,Mesocycle Name,Mesocycle Description,Mesocycle Order,Microcycle Name,Microcycle Description,Microcycle Order,Workout Name,Workout Day,Workout Notes,Exercise Name,Exercise Order,Sets,Set Type,Target Repetitions,Target Min Repetitions,Target Max Repetitions,Target Weight (lbs),Target Weight (kg),Weight Increment (lbs),Weight Increment (kg),Target RPE,Target RIR,Percentage of 1RM,Progression Scheme ID,Advanced Exercise Sets
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,5,Day 3 (light),3,,Machine lateral raise,3,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,5,Day 3 (light),3,,Dumbbell hammer curl,4,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,5,Day 3 (light),3,,Cable triceps kickback,5,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,5,Day 3 (light),3,,Leg extension,6,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,5,Day 3 (light),3,,Cable glute back kick,7,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,5,Day 3 (light),3,,Machine seated calf raise,8,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 1,,5,Day 3 (light),3,,Reverse crunch,9,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 1 (heavy),1,,Dumbbell chest press,1,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 1 (heavy),1,,Dumbbell single-arm row,2,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 1 (heavy),1,,Military press,3,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 1 (heavy),1,,Barbell back squat,4,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 1 (heavy),1,,Barbell hip thrust,5,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 1 (heavy),1,,Barbell stiff-leg deadlift,6,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 2 (moderate),2,,Barbell incline press,1,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 2 (moderate),2,,Neutral-grip lat pull-down,2,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 2 (moderate),2,,Cable upright row,3,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 2 (moderate),2,,Dumbbell incline biceps curl,4,2,,8,8,12,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 2 (moderate),2,,Cable rope overhead triceps extension,5,2,,8,8,12,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 2 (moderate),2,,Leg press,6,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 2 (moderate),2,,Machine seated leg curl,7,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 2 (moderate),2,,Dumbbell standing calf raise,8,2,,8,8,12,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 2 (moderate),2,,Cable kneeling rope crunch,9,2,,8,8,12,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 3 (light),3,,Low cable fly,1,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 3 (light),3,,Cable seated row,2,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 3 (light),3,,Machine lateral raise,3,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 3 (light),3,,Dumbbell hammer curl,4,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 3 (light),3,,Cable triceps kickback,5,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 3 (light),3,,Leg extension,6,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 3 (light),3,,Cable glute back kick,7,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 3 (light),3,,Machine seated calf raise,8,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 2,,6,Day 3 (light),3,,Reverse crunch,9,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 1 (heavy),1,,Dumbbell chest press,1,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 1 (heavy),1,,Dumbbell single-arm row,2,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 1 (heavy),1,,Military press,3,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 1 (heavy),1,,Barbell back squat,4,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 1 (heavy),1,,Barbell hip thrust,5,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 1 (heavy),1,,Barbell stiff-leg deadlift,6,4,,3,3,5,,,,,,"2, 2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 2 (moderate),2,,Barbell incline press,1,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 2 (moderate),2,,Neutral-grip lat pull-down,2,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 2 (moderate),2,,Cable upright row,3,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 2 (moderate),2,,Dumbbell incline biceps curl,4,2,,8,8,12,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 2 (moderate),2,,Cable rope overhead triceps extension,5,2,,8,8,12,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 2 (moderate),2,,Leg press,6,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 2 (moderate),2,,Machine seated leg curl,7,3,,8,8,12,,,,,,"2, 1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 2 (moderate),2,,Dumbbell standing calf raise,8,2,,8,8,12,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 2 (moderate),2,,Cable kneeling rope crunch,9,2,,8,8,12,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 3 (light),3,,Low cable fly,1,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 3 (light),3,,Cable seated row,2,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 3 (light),3,,Machine lateral raise,3,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 3 (light),3,,Dumbbell hammer curl,4,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 3 (light),3,,Cable triceps kickback,5,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 3 (light),3,,Leg extension,6,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 3 (light),3,,Cable glute back kick,7,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 3 (light),3,,Machine seated calf raise,8,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 3,,7,Day 3 (light),3,,Reverse crunch,9,2,,15,15,25,,,,,,"1, 0",,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 1),1,,Dumbbell chest press,1,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 1),1,,Dumbbell single-arm row,2,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 1),1,,Military press,3,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 1),1,,Barbell back squat,4,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 1),1,,Dumbbell lunge,5,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 1),1,,Dumbbell stiff-leg deadlift,6,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 2),2,,Dumbbell chest press,1,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 2),2,,Dumbbell single-arm row,2,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 2),2,,Military press,3,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 2),2,,Barbell back squat,4,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 2),2,,Dumbbell lunge,5,2,,15,15,20,,,,,,4,,,
Strong & Sculpted,Brad Schoenfeld,A strength and hypertrophy program by Brad Schoenfeld.,4 weeks,Intermediate/Advanced,,,Basic Training Phase,,2,Week 4,,8,Deload (Day 2),2,,Dumbbell stiff-leg deadlift,6,2,,15,15,20,,,,,,4,,,
